,STATION,ENTRIES,NEW_ID,ENTRY_COUNT
61,34 ST-PENN STA,23422179177.857143,1576306.2857142857,143527.0
232,GRD CNTRL-42 ST,13724951330.714285,1001049.5714285715,128234.0
59,34 ST-HERALD SQ,28403972553.42857,662090.2857142857,110187.0
46,23 ST,34755683726.14286,1035917.5714285715,99526.0
14,14 ST-UNION SQ,4894326838.428572,463461.71428571426,90159.0
