131741,HOUSTON ST
36042,HOWARD BCH JFK
192360,HOYT ST
62409,HOYT-SCHER
180285,HUNTERS PT AV
175827,HUNTS POINT AV
170866,INTERVALE AV
42046,INWOOD-207 ST
170404,JACKSON AV
88783,JAMAICA 179 ST
110235,JAMAICA CENTER
109395,JAMAICA VAN WK
19952,JAY ST-METROTEC
33314,JEFFERSON ST
36422,JFK JAMAICA CT1
81190,JKSN HT-ROOSVLT
114628,JOURNAL SQUARE
186303,JUNCTION BLVD
197673,JUNIUS ST
86074,KEW GARDENS
17280,KINGS HWY
74251,KINGSBRIDGE RD
196074,KINGSTON AV
64167,KINGSTON-THROOP
40933,KNICKERBOCKER
38409,KOSCIUSZKO ST
120426,LACKAWANNA
62619,LAFAYETTE AV
76744,LEXINGTON AV/53
108171,LEXINGTON AV/63
65725,LIBERTY AV
35210,LIVONIA AV
175575,LONGWOOD AV
32225,LORIMER ST
146332,MARBLE HILL-225
36855,MARCY AV
41731,METROPOLITAN AV
187407,METS-WILLETS PT
178429,MIDDLETOWN RD
32936,MONTROSE AV
33062,MORGAN AV
176749,MORISN AV/SNDVW
200620,MORRIS PARK
167442,MOSHOLU PKWY
166093,MT EDEN AV
38241,MYRTLE AV
92557,MYRTLE-WILLOUGH
33782,MYRTLE-WYCKOFF
91066,NASSAU AV
18208,NECK RD
107373,NEPTUNE AV
174019,NEREID AV
192864,NEVINS ST
35370,NEW LOTS
198177,NEW LOTS AV
25578,NEW UTRECHT AV
122008,NEWARK BM BW
122727,NEWARK C
123447,NEWARK HM HE
113130,NEWARK HW BMEBE
199402,NEWKIRK AV
15301,NEWKIRK PLAZA
80686,NORTHERN BLVD
75091,NORWOOD 205 ST
39249,NORWOOD AV
63873,NOSTRAND AV
19444,OCEAN PKWY
67906,OZONE PK LEFFRT
13616,PARK PLACE
177253,PARKCHESTER
14335,PARKSIDE AV
87684,PARSONS BLVD
124366,PATH NEW WTC
124166,PATH WTC 2
117237,PAVONIA/NEWPORT
178933,PELHAM BAY PARK
172672,PELHAM PKWY
197841,PENNSYLVANIA AV
198429,PRESIDENT ST
6447,PRINCE ST
22091,PROSPECT AV
13994,PROSPECT PARK
78256,QUEENS PLAZA
181048,QUEENSBORO PLZ
64965,RALPH AV
10119,RECTOR ST
202765,RIT-MANHATTAN
202937,RIT-ROOSEVELT
65137,ROCKAWAY AV
67015,ROCKAWAY BLVD
69854,ROCKAWAY PARK B
108969,ROOSEVELT ISLND
197211,SARATOGA AV
41101,SENECA AVE
18502,SHEEPSHEAD BAY
65980,SHEPHERD AV
170992,SIMPSON ST
103189,SMITH-9 ST
126158,SOUTH FERRY
56620,SPRING ST
177001,ST LAWRENCE AV
201379,ST. GEORGE
79683,STEINWAY ST
198555,STERLING ST
87258,SUTPHIN BLVD
109689,SUTPHIN-ARCHER
35126,SUTTER AV
196959,SUTTER AV-RUTLD
119752,THIRTY ST
121345,THIRTY THIRD ST
2683,TIMES SQ-42 ST
202471,TOMPKINSVILLE
73333,TREMONT AV
119395,TWENTY THIRD ST
21338,UNION ST
64419,UTICA AV
147224,V.CORTLANDT PK
