107,Neck Rd
591,Neptune Av-Van Siclen
797,Nevins St
260,New Lots Av
159,New Utrecht Av
101,Newkirk Av
646,Northern Blvd
183,Norwood Av
465,Norwood-205th St
386,Nostrand Av
113,Ocean Parkway
61,Pacific St
267,Park Place
867,Parkchester-East 177th St
97,Parkside Av
607,Parsons Blvd
667,Parsons Blvd-Archer Av - Jamaica Center
852,Pelham Bay Park
1018,Pelham Parkway
831,Pennsylvania Av
837,President St
39,Prince St
67,Prospect Av
96,Prospect Park
563,Prospect Park-15 St
652,Queens Plaza
1109,Queensboro Plaza
392,Ralph Av
1105,Rawson St-33rd St
46,Rector St
395,Rockaway Av
420,Rockaway Blvd
444,Rockaway Park-Beach 116th
502,Roosevelt Island
824,Saratoga Av
221,Seneca Av
108,Sheepshead Bay
406,Shepherd Av
1035,Simpson St
552,Smith-9th St
1120,South Ferry
352,Spring St
868,St Lawrence Av
648,Steinway St
839,Sterling St
119,Stillwell Av
610,Sutphin Blvd
674,Sutphin Blvd-Archer Av - JFK
258,Sutter Av
764,Times Square
1140,Times Square-42nd St
480,Tremont Av
36,Union Square
63,Union St
390,Utica Av
715,Van Cortlandt Park-242nd St
187,Van Siclen Av
1117,Vernon Blvd-Jackson Av
1000,Wakefield-241st St
788,Wall St
349,West 4th St
117,West 8th St
862,Westchester Square-East Tremont Av
49,Whitehall St
875,Whitlock Av
253,Wilson Av
841,Winthrop St
172,Woodhaven Blvd
893,Woodlawn
1090,Woodside Av-61st St
358,World Trade Center
491,Yankee Stadium-161st St
547,York St
863,Zerega Av
